bjcd,name,lon,lat
2641010400,남산동,129.08058,35.26803
2641010500,선동,129.11287,35.27116
2641010600,오륜동,129.11847,35.2484
2641010700,구서동,129.0841,35.25435
2641010800,장전동,129.07469,35.23529
2641010900,부곡동,129.09579,35.23215
2641011000,서동,129.10339,35.21799
2641011100,금사동,129.11174,35.22107
2641011200,회동동,129.12735,35.23755
2641011300,금성동,129.05393,35.25408
2644010100,대저1동,128.96608,35.21109
2644010200,대저2동,128.94263,35.16049
2644010300,강동동,128.91863,35.18046
2644010400,명지동,128.91363,35.10702
2644010500,죽림동,128.89989,35.20082
2644010600,식만동,128.90881,35.21269
2644010700,죽동동,128.88342,35.19978
2644010800,봉림동,128.89464,35.16885
2644010900,송정동,128.84718,35.09932
2644011000,화전동,128.87496,35.10414
2644011100,녹산동,128.88022,35.11717
2644011200,생곡동,128.87935,35.13223
2644011300,구랑동,128.85422,35.12744
2644011400,지사동,128.82486,35.14594
2644011500,미음동,128.85918,35.15285
2644011600,범방동,128.88207,35.15558
2644011700,신호동,128.87747,35.09016
2644011800,동선동,128.83775,35.04514
2644011900,성북동,128.81661,35.06378
2644012000,눌차동,128.84633,35.067
2644012100,천성동,128.82317,35.03209
2644012200,대항동,128.83083,35.00803
2647010100,거제동,129.06754,35.18858
2647010200,연산동,129.0913,35.17908
2650010100,망미동,129.10472,35.17297
2650010200,수영동,129.11764,35.17045
2650010300,민락동,129.12602,35.15984
2650010400,광안동,129.10939,35.15954
2650010500,남천동,129.10985,35.14401
2653010100,삼락동,128.97228,35.17508
2653010200,모라동,129.0011,35.18457
2653010300,덕포동,128.98844,35.17462
2653010400,괘법동,128.99315,35.16612
2653010500,감전동,128.97906,35.15025
2653010600,주례동,129.00555,35.15162
2653010700,학장동,128.98885,35.1377
2653010800,엄궁동,128.9706,35.13
2671025000,기장읍,129.20716,35.22585
2671025300,장안읍,129.24708,35.34956
2671025600,정관읍,129.17792,35.336
2671025900,일광읍,129.22325,35.28717
2671031000,일광면,129.25264,35.24448
2671033000,철마면,129.15447,35.28196
2711010100,동인동1가,128.60363,35.87225
2711010200,동인동2가,128.60328,35.86907
2711010300,동인동3가,128.60999,35.87183
2711010400,동인동4가,128.61043,35.8678
2711010500,삼덕동1가,128.59806,35.86652
2711010600,삼덕동2가,128.60265,35.86545
2711010700,삼덕동3가,128.60881,35.86437
2711010800,봉산동,128.59731,35.86304
2711010900,장관동,128.59057,35.86882
2711011000,상서동,128.58997,35.87045
2711011100,수동,128.58914,35.8697
2711011200,덕산동,128.5933,35.86607
2711011300,종로1가,128.59116,35.8703
2711011400,종로2가,128.59199,35.86834
2711011500,사일동,128.59456,35.87044
2711011600,동일동,128.59278,35.86971
2711011700,남일동,128.59366,35.86941
2711011800,전동,128.59283,35.87072
2711011900,동성로3가,128.59384,35.86745
2711012000,동문동,128.59945,35.87184
2711012100,문화동,128.59734,35.87126
2711012200,공평동,128.59841,35.86937
2711012300,동성로2가,128.59562,35.87006
2711012400,태평로1가,128.59811,35.87459
2711012500,교동,128.59887,35.87336
2711012600,용덕동,128.59671,35.87395
2711012700,상덕동,128.59779,35.87376
2711012800,완전동,128.59927,35.87254
2711012900,도원동,128.58335,35.87655
